# Audience Network publishers with very low impression volumes do not appear on this list. Any campaign using a block list will not deliver ads to any of these low volume publishers. To download this list of low volume publishers visit https://business.facebook.com/business/publisher-list?low_volume_publishers_only=true
Note:  Here App Store Categories column values are directly scraped from itunes/google play stores. Learn more about this file: http://facebook.com/business/help/1382467665184382
"Note:  The Minimum Age Rating column values are directly scraped from itunes/google play stores. They are the highest rating across the UK, US, DE, AU, KR and RU stores to represent the major ratings boards and agencies. Special values are: 0 = Unrated, 1 = Everyone."
URL,Audience Network - Rewarded videos,"Audience Network - Native, banner and interstitial",Content creator,Date added,App store categories,Minimum age rating
http://play.google.com/store/apps/details?id=com.brainium.solitairefree,no,yes,Solitaire: Classic Card Games,2022-09-26,Card,1
https://itunes.apple.com/us/app/id495583717,yes,yes,Jigsaw Puzzle,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.hi5.app,yes,yes,"hi5 - meet, chat & flirt",2022-09-26,Social,18
http://play.google.com/store/apps/details?id=com.selfawaregames.acecasino,yes,no,Big Fish Casino - Slots Games,2023-02-09,Casino,18
http://play.google.com/store/apps/details?id=air.br.com.damas.mobile,no,yes,Checkers Online: board game,2022-09-26,Board,15
http://play.google.com/store/apps/details?id=com.RenownEntertainment.BallHop,yes,yes,Ball-Hop Bowling - Arcade Game,2022-09-26,Sports,1
http://play.google.com/store/apps/details?id=ie.slice.mylottoireland,no,yes,Irish Lotto & EuroMillions,2022-09-26,News & Magazines,18
https://itunes.apple.com/us/app/id423593206,no,yes,Office Jerk,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.fullfat.android.flickgolffree,yes,yes,Flick Golf World Tour,2022-09-26,Sports,13
http://play.google.com/store/apps/details?id=com.waveline.nabd,no,yes,نبض Nabd - اخبار العالم ، عاجل,2022-09-26,News & Magazines,1
https://itunes.apple.com/us/app/id338088432,yes,yes,Free Tone - Calling & Texting,2022-09-26,Social Networking,4
https://itunes.apple.com/us/app/id441813332,no,yes,JioSaavn – Music & Podcasts,2022-09-26,Music,12
https://itunes.apple.com/us/app/id522314360,no,yes,Thai Radio ฟังวิทยุออนไลน์,2022-09-26,Music,4
http://play.google.com/store/apps/details?id=com.btdstudio.othello,yes,yes,オセロ - オンライン　対戦数No1,2022-09-26,Board,1
http://play.google.com/store/apps/details?id=com.zombodroid.MemeGenerator,no,yes,Meme Generator,2022-09-26,Entertainment,17
https://itunes.apple.com/us/app/id372836496,yes,yes,Coin Dozer,2023-05-11,Games,17
https://itunes.apple.com/us/app/id579581125,no,yes,SmartNews: Local Breaking News,2022-09-26,News,17
http://play.google.com/store/apps/details?id=com.commsource.beautyplus,yes,yes,"BeautyPlus - Retouch, Filters",2022-09-26,Photography,1
https://itunes.apple.com/us/app/id542673545,no,yes,Podcast & Radio - iVoox,2022-03-07,News,12
http://play.google.com/store/apps/details?id=com.internet.speed.meter.lite,no,yes,Internet Speed Meter Lite,2023-09-20,Tools,1
http://play.google.com/store/apps/details?id=com.funplus.familyfarm,yes,no,Family Farm Seaside,2022-09-26,Simulation,1
https://itunes.apple.com/us/app/id469463298,no,yes,Citymapper,2022-09-26,Navigation,4
https://itunes.apple.com/us/app/id514573343,yes,no,Janes Farm: Play Harvest Town,2022-09-26,Games,4
https://itunes.apple.com/us/app/id476555713,no,yes,Alarm Clock HD,2022-09-26,Utilities,4
http://play.google.com/store/apps/details?id=com.plurk.android,no,yes,Plurk,2017-10-07,Social,18
http://play.google.com/store/apps/details?id=com.realore.FarmUp,yes,no,Janes Farm: Farming games,2022-12-29,Simulation,15
https://itunes.apple.com/us/app/id323108917,no,yes,TCHATCHE: Chat and Dating,2022-09-26,Lifestyle,17
http://play.google.com/store/apps/details?id=com.octro.teenpatti,yes,no,Teen Patti Octro Poker & Rummy,2022-09-26,Casino,18
https://itunes.apple.com/us/app/id457446957,yes,yes,Jetpack Joyride,2022-09-26,Games,9
http://play.google.com/store/apps/details?id=com.cardinalblue.piccollage.google,no,yes,PicCollage: Grid Collage Maker,2022-09-26,Photography,1
http://play.google.com/store/apps/details?id=air.br.com.buraco.mobile,yes,yes,Canasta Online - Card Game,2022-09-26,Card,15
http://play.google.com/store/apps/details?id=com.myyearbook.m,yes,yes,MeetMe: Chat & Meet New People,2021-11-29,Social,18
http://play.google.com/store/apps/details?id=com.hikaru.photowidgetad,no,yes,Animated Photo Widget,2022-09-26,Photography,1
https://itunes.apple.com/us/app/id421997825,yes,yes,Talking Tom Cat 2,2022-09-26,Entertainment,4
http://play.google.com/store/apps/details?id=com.vinetree.gametalktalk2,yes,yes,GameTalkTalk,2022-09-26,Social,13
https://itunes.apple.com/us/app/id486363584,yes,no,Bingo Bash HD Live Bingo Games,2022-09-26,Games,17
https://itunes.apple.com/us/app/id370339723,yes,yes,Texas Hold'em Poker: Pokerist,2022-09-26,Games,17
https://itunes.apple.com/us/app/id494833223,no,yes,Highway Rider,2022-09-26,Games,12
https://itunes.apple.com/us/app/id505446332,no,yes,Topface: dating app and chat,2022-09-26,Social Networking,17
http://play.google.com/store/apps/details?id=com.bravolang.dictionary.french,no,yes,French English Dictionary & Tr,2019-11-07,Education,1
http://play.google.com/store/apps/details?id=com.happyelements.happyfish,yes,no,HappyFish,2022-09-26,Casual,1
http://play.google.com/store/apps/details?id=com.ddi,yes,no,DoubleDown Casino Vegas Slots,2022-09-26,Casino,18
https://itunes.apple.com/us/app/id364909474,no,yes,Euchre 3D,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.tranzmate,no,yes,Moovit: Bus & Train Schedules,2021-10-27,Maps & Navigation,1
http://play.google.com/store/apps/details?id=com.skout.android,yes,yes,"SKOUT - Meet, Chat, Go Live",2022-09-26,Social,18
https://itunes.apple.com/us/app/id674542013,yes,yes,Fruit Bump,2023-07-24,Games,4
http://play.google.com/store/apps/details?id=com.supersolid.penguin,yes,no,Super Penguins,2022-09-26,Action,1
https://itunes.apple.com/us/app/id671755288,yes,yes,Sudoku Quest Color Soduku Game,2022-09-26,Games,4
https://itunes.apple.com/us/app/id490975530,yes,yes,Truco Argentino,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=com.etermax.preguntados.lite,yes,yes,Trivia Crack,2022-09-26,Trivia,1
http://play.google.com/store/apps/details?id=com.zynga.livepoker,yes,yes,Zynga Poker- Texas Holdem Game,2022-09-26,Casino,18
https://itunes.apple.com/us/app/id557835389,no,yes,Oshare Weather,2022-09-26,Weather,4
http://play.google.com/store/apps/details?id=com.kokteyl.mackolik,no,yes,Mackolik Canlı Sonuçlar,2022-09-26,Sports,1
https://itunes.apple.com/us/app/id384101264,no,yes,MailOnline: Daily News Updates,2020-03-24,News,12
http://play.google.com/store/apps/details?id=info.woodsmall.calculator,no,yes,Calculator - Floating Widget,2022-09-26,Tools,1
http://play.google.com/store/apps/details?id=com.qrcodereader,no,yes,QR Code Scanner,2023-02-05,Tools,1
https://itunes.apple.com/us/app/id651468818,yes,yes,What am I? riddles - Word game,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.sports2i,no,yes,KBO STATS,2022-09-26,Sports,1
https://itunes.apple.com/us/app/id480090210,no,yes,ICONIT QRcode Reader,2022-09-26,Productivity,17
http://play.google.com/store/apps/details?id=com.silvercrk.backgammon_thd_free,no,yes,Hardwood Backgammon,2022-12-07,Board,1
http://play.google.com/store/apps/details?id=com.horseboxsoftware.hongkongairportflights,no,yes,Hong Kong Airport: Flight Info,2022-09-26,Travel & Local,18
http://play.google.com/store/apps/details?id=org.withouthat.acalendar,no,yes,aCalendar - your calendar,2022-09-26,Productivity,1
https://itunes.apple.com/us/app/id398157427,no,yes,Mackolik Canlı Sonuçlar,2019-10-28,Sports,12
https://itunes.apple.com/us/app/id514772744,no,yes,ScoreStream Sports Scores,2022-09-26,Sports,4
https://itunes.apple.com/us/app/id737698958,yes,yes,Belote.com - Coinche & Belote,2022-09-26,Games,12
https://itunes.apple.com/us/app/id503869041,yes,yes,Robbery Bob - King of Sneak,2022-12-09,Games,12
http://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution,yes,yes,Hungry Shark Evolution,2022-09-26,Action,16
https://itunes.apple.com/us/app/id570050950,yes,yes,GameVelvet - Card Games,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.bitsmedia.android.muslimpro,no,yes,Muslim Pro: Quran Athan Prayer,2022-09-26,Lifestyle,1
https://itunes.apple.com/us/app/id620112416,yes,yes,Covet Fashion: Super Stylist,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=air.com.flaregames.wordon,yes,yes,WordOn,2022-09-26,Word,1
http://play.google.com/store/apps/details?id=com.duolingo,yes,yes,Duolingo: Language Lessons,2022-09-26,Education,1
https://itunes.apple.com/us/app/id359917414,yes,yes,Solitaire,2022-09-26,Games,12
http://play.google.com/store/apps/details?id=com.UCMobile.intl,no,yes,"UC Browser-Safe, Fast, Private",2023-06-29,Communication,12
http://play.google.com/store/apps/details?id=com.resultadosfutbol.mobile,no,yes,BeSoccer - Soccer Live Score,2022-09-26,Sports,1
https://itunes.apple.com/us/app/id517840944,yes,yes,Word Chums!,2022-09-26,Games,12
https://itunes.apple.com/us/app/id941617814,yes,yes,Bomber Friends!,2017-11-30,Games,9
https://itunes.apple.com/us/app/id610391947,yes,yes,Asphalt 8: Airborne,2022-09-26,Games,12
