URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/100101996251559,Thiklhakho Thiklhakha,dhevorajean.bernal.75,2023-07-11,no,11719,English,no,3,126
www.facebook.com/100102015058163,Abu-Talal,DANGERSYRIA9,2022-09-12,yes,12039,Arabic,no,0,0
www.facebook.com/100102015173249,Giemel 's Quality Dwarf Coconut Seedlings,ghiemel01,2023-06-29,no,20108,Tagalog,no,9,6862
www.facebook.com/100102075534936,Kate Variety แม่บ้านมินิมอล,katevariety.silentvlog,2023-06-28,no,12901,Thai,no,0,316
www.facebook.com/100102082006121,Torneo La Botinera,torneolabotinera,2023-05-10,no,11763,Spanish,no,12,906
www.facebook.com/100102089184049,Pancho Magno,magnopanchoofficial,2023-06-05,no,46987,English,no,0,0
www.facebook.com/100102109599657,Ebrahim Khalil,betar.ebrahim,2023-09-30,no,17098,English,no,8,291
www.facebook.com/100102175629945,RAINY CH,fb.com.Rainychannel.wow,2022-11-03,yes,14110,Thai,no,0,0
www.facebook.com/100102222918292,Beniere Olepa Oilegort,,2023-03-23,no,16295,English,no,0,0
www.facebook.com/100102225650403,Tsutsu Apuladart ofisialy,,2023-10-03,no,42867,,no,1,9788
www.facebook.com/100102246228986,The punjab video,,2023-05-10,no,18934,Punjabi,no,1,341
www.facebook.com/100102251729230,Ermalyn's Preloved Collections,,2023-02-21,no,15103,English,no,0,732
www.facebook.com/100102282918010,Md Shafiul Alam,,2023-08-16,no,5232,English,no,1,179
www.facebook.com/1001023353422689,العندليب الأسمراني,ASMARANI.yassin,2021-01-16,no,247232,Arabic,no,4,126854
www.facebook.com/100102342918877,Raquel S. Felix,raquel.felix3,2023-08-02,no,20709,English,no,6,176
www.facebook.com/100102359583028,Jomz Kim,jomz.kim,2023-09-04,no,8198,English,no,26,71
www.facebook.com/100102382918330,Mercy Garcia,,2023-10-01,no,7482,English,no,8,165
www.facebook.com/1001023913328304,Noticias Rotinet,NoticiasRotinet,2023-07-11,no,9476,Spanish,no,0,998
www.facebook.com/100102421447804,Bone Apple Tea,Boneappleteamedia,2021-11-25,no,37963,English,no,0,0
www.facebook.com/100102439586675,Jessabelle Perpetua Gerez,jessabelle.perpetua,2023-09-22,no,5910,English,no,0,68
www.facebook.com/100102444914868,Fishing Enjoy My Lives,sakda1619,2023-08-13,no,12378,Thai,no,0,1300
www.facebook.com/100102459555021,Rudrik Il,rudraxofficial01,2023-08-16,no,10039,English,no,0,153
www.facebook.com/100102496310976,Pratima RK vlog,,2023-07-11,no,57532,,no,8,6793
www.facebook.com/100102502906789,Liza Casire,edilesa.casire,2023-07-11,no,10250,English,no,0,189
www.facebook.com/100102512274761,บ้านน็อคดาวน์ By PSD,,2023-04-16,no,26267,Thai,no,9,36314
www.facebook.com/100102515453263,David Alcala,,2023-08-23,no,7575,English,no,0,0
www.facebook.com/100102559583117,Rey Na Del,princedavid.arbolado,2023-09-19,no,13369,English,no,4,62
www.facebook.com/100102572922066,Ashari Hermansyah,ashari.hermansyah.78,2023-09-15,no,5150,Indonesian,no,0,367
www.facebook.com/100102582987758,DK Bhai,dikku.sharma.9,2023-08-28,no,6494,English,no,0,0
www.facebook.com/100102605446643,REEOkun,,2023-08-16,no,23915,Tagalog,no,0,0
www.facebook.com/100102662194872,Ely Bell's,elybells.ff,2023-04-22,yes,569085,Spanish,yes,0,0
www.facebook.com/100102672681408,Faridabad Prime News,faridabadprimenews,2023-07-11,no,11224,Hindi,no,32,560
www.facebook.com/100102679421988,Fundu Bhai,,2023-06-19,no,5433,English,no,0,0
www.facebook.com/100102706206631,فارس عنتر,faris.3ntar,2023-09-10,no,684409,Arabic,no,0,0
www.facebook.com/100102708236054,Esto Pica Y Se Extiende,rsoytuluz,2023-08-19,no,27679,Spanish,no,18,9858
www.facebook.com/100102712783944,Jontu bro,,2023-09-28,no,11735,Bengali,no,4,1054
