URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/100100629553865,Tess Gudbranson,Tess Gudbranson,2022-11-06,301,English,no,1,147
https://www.facebook.com/100100636289002,Emerald Sky,Emerald Sky,2023-04-30,2353,English,no,0,0
https://www.facebook.com/100100646291791,Mayra Lorena Hernandez,Mayra Lorena Hernandez,2023-07-26,292,Spanish,no,13,174
https://www.facebook.com/100100652430683,Rea Olarte Official,REAOLARTEOFFICIAL,2023-03-09,33065,Tagalog,no,1,549
https://www.facebook.com/100100652895065,Bunty Thorat,,2023-09-27,22133,English,no,5,1966
https://www.facebook.com/100100659556932,Katherine Tolosa,kath01.tolosa,2023-05-31,7024,English,no,0,0
https://www.facebook.com/100100662909353,Md Akbar Alam,Md Akbar Alam,2023-04-25,189,English,no,0,18
https://www.facebook.com/100100669336234,Elder gonzalez,Elder gonzalez,2023-04-26,2406,,no,8,114
https://www.facebook.com/100100669542116,Reece Mander Nutritionist,,2023-08-11,50781,,no,6,4576
https://www.facebook.com/100100679588319,Inday Arne,Inday Arne,2022-12-01,638,English,no,2,661
https://www.facebook.com/100100699823960,Chris Eriksen,Chris Eriksen,2023-08-07,5443,English,no,21,6953
https://www.facebook.com/100100702759863,Yen Salvador,Yen Salvador,2023-04-28,30,English,no,3,155
https://www.facebook.com/100100702867709,The Future Is Now Podcast,The Future Is Now Podcast,2023-03-31,11626,,no,3,2790
https://www.facebook.com/100100702969271,Kathy Wilson-Patterson,Kathy Wilson-Patterson,2023-09-15,1223,English,no,0,0
https://www.facebook.com/100100706303764,Deena Marzo Deroca,Deena Marzo Deroca,2023-08-09,1107,English,no,10,112
https://www.facebook.com/100100732834684,Mae Evans,Mae Evans,2023-03-31,44,English,no,0,57
https://www.facebook.com/100100766251094,Pusaka Tempodoeloe,Pusaka Tempodoeloe,2023-08-29,2330,Indonesian,no,1,216
https://www.facebook.com/100100772803765,Leslie James,Leslie James,2023-08-01,13500,English,no,0,331
https://www.facebook.com/100100776250432,Mohd Arshad,Mohd Arshad,2023-04-15,581,English,no,7,94
https://www.facebook.com/100100782987971,Ruiz Dale,Ruiz Dale,2023-04-13,1199,English,no,2,177
https://www.facebook.com/100100792196693,Emre Durmuş Yollarda,Emre Durmuş Yollarda,2023-08-29,13349,,no,0,0
https://www.facebook.com/100100842900628,Génesis M Inglés,Génesis M Inglés,2023-08-01,1558,English,no,1,76
https://www.facebook.com/100100855877143,Bonnie Stahl,Bonnie Stahl,2023-03-30,419,English,no,1,103
https://www.facebook.com/100100856270011,Joey Andino,Joey Andino,2023-08-20,1211,Italian,no,9,106
https://www.facebook.com/100100859405928,Lisa Quinones,Lisa Quinones,2023-05-15,73,English,no,0,25
https://www.facebook.com/100100866223052,Jackie Johnson,Jackie Johnson,2022-12-16,243,English,no,1,50
https://www.facebook.com/100100889549818,Zitro Ssetiram,Zitro Ssetiram,2023-08-29,1961,English,no,0,181
https://www.facebook.com/100100912906848,Đinh Ngọc Ánh,Đinh Ngọc Ánh,2023-08-09,11857,Vietnamese,no,2,195
https://www.facebook.com/100100916346233,Sandoval Cathyrene,Sandoval Cathyrene,2023-08-05,3224,English,no,9,72
https://www.facebook.com/100100919643691,Ajijul Reels,Ajijul Reels,2023-08-09,104,English,no,11,81
https://www.facebook.com/100100928926409,Dripping Liquid LLC Epoxy countertops and floors,Dripping Liquid LLC Epoxy countertops and floors,2022-12-07,769,,no,0,0
https://www.facebook.com/100100939581110,Ahmed K Gouda,kemyaa,2023-09-23,463589,English,no,0,11710
https://www.facebook.com/100100949543287,Mae Pinky Santor,Mae Pinky Santor,2023-05-11,205,English,no,1,78
https://www.facebook.com/100100972984873,Salsa,Salsa,2023-08-15,5425,,no,0,0
https://www.facebook.com/100100975639678,Sven & Katies',Sven & Katies',2022-12-28,1237,,no,1,133
https://www.facebook.com/100100981471483,ส้ม พรรณนิภา แฟนเพจ,,2023-07-23,10816,Thai,no,5,283
https://www.facebook.com/100100995081090,المقنع F4,F4XF4,2023-07-21,26413,Arabic,no,2,488
https://www.facebook.com/100100996216727,JD Saldivar,JD Saldivar,2023-08-29,2036,English,no,5,448
https://www.facebook.com/100101018663985,ANNE,ANNE,2023-02-27,23125,English,no,4,246
https://www.facebook.com/100101029640047,Sunil Bediya,sunil.bediya.1422,2023-06-15,8884,English,no,0,0
https://www.facebook.com/100101032983502,Taffu Craft Studio,Taffu Craft Studio,2023-08-06,113,,no,4,314
https://www.facebook.com/100101033023719,Himmat Verma,Himmat Verma,2023-02-27,331,English,no,12,125
https://www.facebook.com/100101049405501,Anthony Mccarthy,Anthony Mccarthy,2022-09-21,12268,English,no,0,0
https://www.facebook.com/100101062906873,মিষ্টি মেয়ে দুষ্টু ছেলে,মিষ্টি মেয়ে দুষ্টু ছেলে,2023-09-06,13202,French,no,0,0
https://www.facebook.com/100101066239799,Alvarado Osiris,Alvarado Osiris,2023-06-06,410,Spanish,no,1,116
https://www.facebook.com/100101089551350,Diente frío y bin laden,,2023-09-20,24216,,no,33,489
https://www.facebook.com/100101098331677,Child of God 幸福,Child of God 幸福,2023-08-22,57490,English,no,32,7038
https://www.facebook.com/100101108892955,Lrgs Paradise Of Styles LIax Jewels LLc,Lrgs Paradise Of Styles LIax Jewels LLc,2022-11-10,243,,no,6,7
https://www.facebook.com/100101112917285,Abdoulaye Keita,Abdoulaye Keita,2023-08-01,325,French,no,3,36
https://www.facebook.com/100101124740667,Mr. Motomalz,MrMotoMalz,2021-10-25,52415,Tagalog,no,2,975
https://www.facebook.com/100101138345575,Tu Guía Espiritual,Tu Guía Espiritual,2023-08-31,14076,Spanish,no,0,77
https://www.facebook.com/100101139279893,كف وسكينه فتحي النقيب ابو انس للديكورات الحديثه بكل انواعها,Fathyelnakib,2023-04-24,30312,Arabic,no,0,0
https://www.facebook.com/100101139405832,Bhonekz Asturias Ryan,Bhonekz Asturias Ryan,2022-08-18,51207,Tagalog,no,0,274
https://www.facebook.com/100101146248049,Mykiha Kiaboo Wells,Mykiha Kiaboo Wells,2023-05-04,10597,English,no,0,0
https://www.facebook.com/100101152916485,Agus Lahinta,Agus Lahinta,2022-12-23,8445,Indonesian,no,0,0
https://www.facebook.com/100101199569831,Manifesting Mondays,Manifesting Mondays,2023-08-29,1582,,no,24,296
https://www.facebook.com/100101202148259,Go Organique Main,organiquemain,2023-06-21,250058,Tagalog,no,0,0
https://www.facebook.com/100101202992861,Gsm Sp Sobuj,spsobuj44,2023-08-01,6244,English,no,0,0
https://www.facebook.com/100101205322695,MG’s Update,MG’s Update,2022-12-14,22537,Indonesian,no,3,426
https://www.facebook.com/100101229644287,lt._.deivid,lt._.deivid,2023-04-30,259591,,no,3,12920
https://www.facebook.com/100101232644356,Shalini pandey,Shalini pandey,2023-06-15,133749,,no,11,3809
https://www.facebook.com/100101232981574,John Mistica Macababat Jr.,John Mistica Macababat Jr.,2023-08-22,2440,Tagalog,no,8,76
https://www.facebook.com/100101236209219,Nitiphat Thanaphanatthana,pakaey,2022-10-24,86750,Thai,no,6,4103
https://www.facebook.com/100101238706665,Haftor -seilere og strandryddere,Haftor -seilere og strandryddere,2023-09-22,3997,Norwegian (bokmal),no,0,8067
https://www.facebook.com/100101241476910,One Roof,OneRoofOfficialPage,2021-10-25,82405,Malayalam,no,0,0
https://www.facebook.com/100101259422289,Geetkar Abhay Aryan,Geetkar Abhay Aryan,2023-02-23,566,English,no,5,149
https://www.facebook.com/100101259658711,Pravesh Kumar Pandit,Pravesh Kumar Pandit,2023-07-04,995,English,no,1,123
https://www.facebook.com/100101262971934,Nawal Nidrdi,Nawal Nidrdi,2023-08-15,145,Hindi,no,0,124
https://www.facebook.com/100101282864558,Birds & Nature,Birds & Nature,2023-09-14,3467,,no,41,50
https://www.facebook.com/100101288913081,Aura Soto,Aura Soto,2023-08-29,8340,,no,12,213
https://www.facebook.com/100101302761780,De-De Strickland,De-De Strickland,2022-10-22,2099,,no,0,0
https://www.facebook.com/100101305808623,Adri Beauty Blogger,adribeautyblogger,2023-04-03,139151,English,no,0,1242
https://www.facebook.com/100101309597611,Shyam Sunder Singh Rajput,Shyam Sunder Singh Rajput,2023-09-03,571,Hindi,no,0,0
https://www.facebook.com/100101315737835,Orquesta Manaba Oficial,Orquesta Manaba Oficial,2023-02-17,7778,,no,2,382
https://www.facebook.com/100101325304057,Unique Farming,theuniquefarming,2023-05-27,109663,Hindi,no,5,4698
https://www.facebook.com/100101329658371,W7,W7,2023-08-22,83,,no,0,489
https://www.facebook.com/100101346325426,Marnie Jorge-Hadi,Marnie Jorge-Hadi,2023-04-12,0,,no,0,0
https://www.facebook.com/100101369600748,Môhàmëd Hüśšèń,Môhàmëd Hüśšèń,2023-04-29,1611,Arabic,no,0,0
https://www.facebook.com/100101376250353,Cleng Cleng,Cleng Cleng,2023-08-21,186,English,no,11,82
https://www.facebook.com/100101386257731,Gulzar Alom,Gulzar Alom,2023-08-29,1859,English,no,0,0
https://www.facebook.com/100101402908934,Indian Cândido,Indian Cândido,2022-12-23,9686,Portuguese,no,2,37
https://www.facebook.com/100101416058918,Abisai Gonzalez,Abisai Gonzalez,2022-12-16,37,English,no,0,0
https://www.facebook.com/100101416113508,Girl,Girl,2023-07-15,5848,,no,0,10
https://www.facebook.com/100101422916121,Lorena Jalon Bakil,Lorena Jalon Bakil,2023-08-01,3870,English,no,1,8
https://www.facebook.com/100101448463600,alchile.mex,alchile.mex,2023-07-21,1025,Spanish,no,0,127
https://www.facebook.com/100101449324993,Alaa Mohra علاء مهرة,Alaa Mohra علاء مهرة,2023-08-21,296220,,no,1,28730
https://www.facebook.com/100101456250462,Tohid Azimi,Tohid Azimi,2023-08-01,188494,English,no,6,4422
https://www.facebook.com/100101459428985,Zulhas Kabir Sujon,zulhaskabir.sujon,2023-08-11,11686,English,no,1,1208
https://www.facebook.com/100101462880333,Fidel Del Rio Jr.,Fidel Del Rio Jr.,2023-08-29,1924,English,no,3,157
https://www.facebook.com/100101462898285,John Tayar,John Tayar,2023-09-06,38972,English,no,6,2740
https://www.facebook.com/100101476250834,ElmonoFa Rodriguez,ElmonoFa Rodriguez,2023-03-23,3542,Spanish,no,0,0
https://www.facebook.com/100101482588677,Sehruna indian,,2023-03-09,134781,Hindi,no,15,1760
https://www.facebook.com/100101489553769,Nina Aguero,Nina Aguero,2023-04-02,51,English,no,2,134
https://www.facebook.com/100101499659166,Jon Kondelik,Jon Kondelik,2023-03-29,122,English,no,1,71
https://www.facebook.com/100101516266117,Samir Kumar Bardhan,,2023-08-31,39453,English,no,14,2758
https://www.facebook.com/100101529585207,Juan Bernard Santos,Juan Bernard Santos,2023-05-21,254,English,no,1,55
https://www.facebook.com/100101532915031,Alex Stream,Alex Stream,2023-02-06,25213,Spanish,no,4,42
https://www.facebook.com/100101535699370,Sudhir kumar blogs,Sudhir kumar blogs,2023-09-15,867,,no,0,84
https://www.facebook.com/100101536244164,Korpinay ann,Korpinay ann,2023-08-05,1160,,no,7,67
https://www.facebook.com/100101556111397,Mai Purper,maipurper,2022-12-23,431171,,no,5,135231
https://www.facebook.com/100101556331203,Rowena Elizaga,Rowena Elizaga,2023-07-06,2591,English,no,3,264
https://www.facebook.com/100101559668640,Angel Ica,Angel Ica,2023-08-01,1179,Tagalog,no,0,0
https://www.facebook.com/100101603021345,Ahmed Nasr,Ahmed Nasr,2023-02-17,552,Arabic,no,0,324
https://www.facebook.com/100101612992261,Dee Porter,dekeishia,2023-03-09,5421,English,no,1,206
https://www.facebook.com/100101628784661,BIYIN,BIYIN,2023-08-29,125846,English,no,1,15514
https://www.facebook.com/100101635228362,Yuzuke,yuzukegaming,2022-09-21,374548,English,no,0,0
https://www.facebook.com/100101639414841,Isiah Isiah,Isiah Isiah,2023-08-01,1197,English,no,1,67
https://www.facebook.com/100101672706747,Dennis Elizaga Reyes,Dennis Elizaga Reyes,2023-03-22,595,English,no,0,89
https://www.facebook.com/100101679390071,Charlette Miles,Charlette Miles,2023-03-29,61,,no,0,0
https://www.facebook.com/100101682933354,Ma Liezl Sajonia Esquillo,Ma Liezl Sajonia Esquillo,2023-09-27,126,English,no,0,39
https://www.facebook.com/100101682978054,Melanie Baker,Melanie Baker,2023-04-03,76,English,no,0,53
https://www.facebook.com/1001016913250002,Vitoria Souza,VitoriaSouzaOficial1,2021-10-25,4690533,Portuguese,no,11,10127
https://www.facebook.com/100101709350272,TromboneTimo,TromboneTimo,2023-02-28,30704,English,no,1,7968
https://www.facebook.com/100101719582838,Ecarge Grace,Ecarge Grace,2023-03-24,1569,English,no,0,0
